Timestamp            Max Diff (ms) Port 50038      Port 50039      Port 50040      Port 50041      Port 50042      Port 50043      Port 50044      Port 50045      Port 50046      Port 50047      Port 50048      Port 50049     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17:14:00.772         4.0          +4.0ms          +0.0ms          +4.0ms          +4.0ms          +4.0ms          +4.0ms          +4.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:00.784         1.0          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:00.795         1.0          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:00.808         1.0          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:00.821         2.0          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms         
17:14:00.835         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:00.846         1.0          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:00.859         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:00.872         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:00.886         2.0          +2.0ms          +0.0ms          +1.0ms          +2.0ms          +0.0ms          +2.0ms          +2.0ms          +1.0ms          +1.0ms          +2.0ms          +1.0ms          +2.0ms         
17:14:00.900         2.0          +2.0ms          +0.0ms          +0.0ms          +2.0ms          +2.0ms          +1.0ms          +1.0ms          +2.0ms          +2.0ms          +1.0ms          +1.0ms          +1.0ms         
